title,vote_average,popularity,title_clean
Glow Up,0.0,0.1029,glow up
I'm Glad I Did,7.6,0.0919,i'm glad i did
Myth & Mogul: John DeLorean,6.418,3.8545,myth & mogul: john delorean
Outer Banks,10.0,0.0327,outer banks
Pomegranates and Myrrh,5.2,0.2933,pomegranates and myrrh
Rurouni Kenshin: The Beginning,7.655,3.7764,rurouni kenshin: the beginning
The Last Mercenary,6.377,1.5851,the last mercenary
Flower Girl,9.0,0.5914,flower girl
Resort to Love,7.126,1.6993,resort to love
Bartkowiak,6.0,0.4235,bartkowiak
Fantastic Fungi,7.24,1.3892,fantastic fungi
The Flash,6.62,15.0554,the flash
All American,10.0,0.2327,all american
Department,6.3,0.3468,department
Hostage House,6.469,0.7567,hostage house
Mighty Express,4.7,0.2804,mighty express
Mimi,5.2,0.237,mimi
The Operative,5.835,1.015,the operative
The Walking Dead,3.265,0.3869,the walking dead
Wynonna Earp,6.586,0.5941,wynonna earp
Django Unchained,8.187,13.5873,django unchained
A Second Chance:  Rivals!,6.941,0.6311,a second chance:  rivals!
African America,2.0,0.5458,african america
Bankrolled,5.5,0.3423,bankrolled
Blood Red Sky,6.801,3.2702,blood red sky
Kingdom: Ashin of the North,7.1,2.8454,kingdom: ashin of the north
Sky Rojo,6.801,3.2702,sky rojo
The Last Letter From Your Lover,7.332,2.0,the last letter from your lover
The Movies That Made Us,0.0,0.0286,the movies that made us
9to5: The Story of a Movement,7.7,0.1238,9to5: the story of a movement
Chhota Bheem - Dinosaur World,0.0,0.0534,chhota bheem - dinosaur world
Chhota Bheem - Neeli Pahaadi,10.0,0.1386,chhota bheem - neeli pahaadi
Chhota Bheem & Ganesh,6.3,0.1827,chhota bheem & ganesh
Chhota Bheem & Krishna: Mayanagari,6.3,0.1827,chhota bheem & krishna: mayanagari
Chhota Bheem & Krishna: Pataliputra- City of the Dead,6.3,0.1827,chhota bheem & krishna: pataliputra- city of the dead
Chhota Bheem And The Broken Amulet,0.0,0.0757,chhota bheem and the broken amulet
Chhota Bheem And The Crown of Valhalla,10.0,0.0814,chhota bheem and the crown of valhalla
Chhota Bheem and the Incan Adventure,0.0,0.0879,chhota bheem and the incan adventure
Chhota Bheem and The ShiNobi Secret,0.0,0.0811,chhota bheem and the shinobi secret
Chhota Bheem Aur Hanuman,6.2,0.076,chhota bheem aur hanuman
Chhota Bheem aur Krishna,10.0,0.2726,chhota bheem aur krishna
Chhota Bheem in African Safari,0.0,0.0239,chhota bheem in african safari
Chhota Bheem Ka Roosi Romanch,0.0,0.0499,chhota bheem ka roosi romanch
Chhota Bheem: Bheem vs Aliens,5.5,0.1511,chhota bheem: bheem vs aliens
Chhota Bheem: Dholakpur to Kathmandu,7.0,0.1001,chhota bheem: dholakpur to kathmandu
Chhota Bheem: Dus Pe Dus,0.0,0.0338,chhota bheem: dus pe dus
Chhota Bheem: Journey to Petra,0.0,0.264,chhota bheem: journey to petra
Chhota Bheem: Master of Shaolin,8.0,0.114,chhota bheem: master of shaolin
Chhota Bheem: The Rise of Kirmada,4.7,0.3743,chhota bheem: the rise of kirmada
Chicago Med,6.673,3.6442,chicago med
Cousins,6.7,0.3501,cousins
Wannabe Courageous,4.7,0.5954,wannabe courageous
Words Bubble Up Like Soda Pop,7.346,1.6106,words bubble up like soda pop
Sanitation Day,4.7,0.128,sanitation day
Sexy Beasts,0.0,0.0143,sexy beasts
Trollhunters: Rise of the Titans,7.554,2.4008,trollhunters: rise of the titans
Milkwater,4.143,0.1813,milkwater
The Tambour of Retribution,5.9,0.1893,the tambour of retribution
Cosmic Sin,4.0,1.7957,cosmic sin
2 Weeks in Lagos,2.0,0.2142,2 weeks in lagos
Deep,5.98,1.5484,deep
Explained,0.0,0.1608,explained
Fear Street Part 3: 1666,7.1,2.0289,fear street part 3: 1666
Johnny Test,3.6,0.1949,johnny test
La ley de Herodes,7.9,1.2131,la ley de herodes
Naomi Osaka,0.0,0.0311,naomi osaka
The Beguiled,7.0,1.6261,the beguiled
The Book of Henry,7.492,1.9211,the book of henry
The Twilight Saga: Breaking Dawn: Part 1,6.192,8.638,the twilight saga: breaking dawn: part 1
The Twilight Saga: Breaking Dawn: Part 2,6.459,9.483,the twilight saga: breaking dawn: part 2
The Twilight Saga: Eclipse,6.197,7.2455,the twilight saga: eclipse
The Twilight Saga: New Moon,5.992,9.2273,the twilight saga: new moon
Twilight,6.282,14.7887,twilight
A Perfect Fit,7.236,0.4355,a perfect fit
Cheech & Chong's Still Smokin,4.5,0.0969,cheech & chong's still smokin
Emicida: AmarElo - Live in São Paulo,7.9,0.0596,emicida: amarelo - live in são paulo
Her Private Life,1.333,0.0938,her private life
Lift Like a Girl,5.75,0.0264,lift like a girl
My Amanda,5.7,0.5004,my amanda
Never Have I Ever,5.0,0.0533,never have i ever
Surf's Up,6.484,5.3758,surf's up
The Unknown Saint,6.371,0.4326,the unknown saint
This Changes Everything,6.0,1.2189,this changes everything
A Classic Horror Story,5.8,2.1769,a classic horror story
Gunpowder Milkshake,6.274,4.7098,gunpowder milkshake
Heist,6.321,3.7605,heist
Private Network: Who Killed Manuel Buendía?,7.3,0.2479,private network: who killed manuel buendía?
The Guide to the Perfect Family,6.49,0.4881,the guide to the perfect family
American Woman,6.329,3.411,american woman
Day of Destiny,4.667,0.2345,day of destiny
Born to Play,1.0,0.155,born to play
American Ultra,6.091,3.9748,american ultra
The Stand-Up,0.0,0.0409,the stand-up
The Tour,0.0,0.0453,the tour
Atypical,5.5,2.4504,atypical
Fear Street Part 2: 1978,7.2,3.7639,fear street part 2: 1978
Finding Hubby,2.7,0.1649,finding hubby
How I Became a Superhero,6.085,1.4154,how i became a superhero
Last Summer,6.2,0.1904,last summer
Lee Su-geun: The Sense Coach,2.5,0.3857,lee su-geun: the sense coach
Lethal Love,4.7,0.4956,lethal love
Ratchet and Clank,9.0,0.1528,ratchet and clank
Virgin River,0.0,0.0143,virgin river
Back to Q82,4.0,0.0812,back to q82
Home Again,6.107,1.8251,home again
Midnight Sun,0.0,0.0311,midnight sun
Rock the Kasbah,5.39,1.4398,rock the kasbah
Awon Boyz,0.0,0.0071,awon boyz
Brick Mansions,5.905,3.0157,brick mansions
Cat People,6.927,3.8587,cat people
Clash,2.0,0.2799,clash
Dogs,5.417,0.4271,dogs
Major Grom: Plague Doctor,6.6,1.7278,major grom: plague doctor
Mama Drama,0.0,0.2012,mama drama
Tango With Me,0.0,0.1043,tango with me
The Mire,0.0,0.2101,the mire
The War Next-door,4.4,0.5268,the war next-door
Therapy,6.0,0.0655,therapy
